"year","month","month_name","avg_temp","avg_max_temp","min_max_temp","max_max_temp","avg_min_temp","min_min_temp","max_min_temp","avg_feels_like","avg_max_feels_like","min_max_feels_like","max_max_feels_like","avg_min_feels_like","min_min_feels_like","max_min_feels_like","avg_humidity","avg_precipitation","avg_dew","avg_windspeed","avg_windgust"
2020,1,January,17.967741935483872,23.17741935483871,18.0,28.1,13.1613,10,17,17.970967741935485,23.238709677419354,18.0,29.2,13.1613,10,17,78.03548387096775,1.2903,13.690322580645162,13.241935483870964,23.56451612903225
2021,1,January,20.048387096774196,25.606451612903232,22.5,31.0,15.2258,11,20,20.074193548387104,25.69354838709678,22.5,31.0,15.2258,11,20,71.8516129032258,0.0000,14.35483870967742,10.535483870967742,23.2741935483871
2022,1,January,19.18387096774193,23.75483870967742,20.6,27.0,15.0000,12,18,19.2,23.887096774193548,20.6,28.8,15.0000,12,18,79.43225806451615,0.5161,15.225806451612902,14.248387096774191,24.44838709677419
2023,1,January,21.135483870967736,26.903225806451612,23.0,32.0,15.9677,12,20,21.258064516129036,27.470967741935482,23.0,33.7,15.9677,12,20,72.91612903225807,0.0000,15.674193548387096,13.870967741935484,24.15483870967742
2024,1,January,17.82258064516129,22.893548387096782,18.7,27.0,13.4839,10,19,17.82258064516129,22.93225806451614,18.7,28.2,13.3548,8,19,75.96774193548387,0.0645,13.206451612903225,13.99677419354839,24.193548387096772
2025,1,January,19.83225806451613,24.993548387096777,22.0,28.0,15.0645,12,22,19.864516129032253,25.206451612903226,22.0,30.1,15.0645,12,22,72.50967741935484,0.0000,14.335483870967742,14.945161290322583,24.5
2020,2,February,20.78965517241379,26.148275862068967,19.8,30.0,15.5517,11,19,20.799999999999997,26.162068965517243,19.8,30.0,15.5517,11,19,68.0103448275862,0.0690,14.093103448275862,13.68275862068966,24.303448275862063
2021,2,February,23.049999999999994,29.12142857142857,23.0,36.0,17.5000,12,23,23.010714285714283,28.75714285714286,23.0,34.7,17.5000,12,23,63.05714285714286,0.0000,14.739285714285716,12.535714285714288,23.74642857142857
2022,2,February,21.51071428571428,26.575,22.8,31.0,16.5714,13,20,21.59642857142857,27.08214285714286,22.8,32.7,16.5714,13,20,73.88928571428572,1.0357,16.05,15.217857142857142,25.457142857142852
2023,2,February,25.353571428571428,31.214285714285715,26.0,35.0,19.8929,15,24,25.939285714285713,32.425000000000004,26.0,40.6,19.8929,15,24,65.38571428571429,0.0000,17.542857142857144,15.560714285714283,24.842857142857138
2024,2,February,23.027586206896554,27.731034482758623,23.5,32.0,18.6897,13,23,23.231034482758623,28.434482758620685,23.5,35.5,18.6897,13,23,69.24827586206897,0.4138,16.613793103448273,15.006896551724143,26.182758620689658
2025,2,February,24.321428571428562,29.335714285714285,26.0,32.0,19.7857,15,23,24.53571428571429,29.849999999999998,26.0,32.7,19.7857,15,23,68.65,1.3929,17.525,14.167857142857143,23.96428571428572
2020,3,March,26.354838709677416,31.916129032258063,26.0,36.1,21.0000,16,26,27.187096774193538,33.89677419354838,26.0,40.6,21.0000,16,26,67.9,1.1935,19.27741935483871,15.670967741935485,27.07741935483871
2021,3,March,28.851612903225806,34.54516129032259,30.3,39.0,23.8710,20,27,30.161290322580648,36.064516129032256,30.8,46.0,24.1290,20,32,61.99354838709677,0.0000,19.687096774193552,14.493548387096775,26.477419354838716
2022,3,March,28.00322580645162,33.245161290322585,30.1,37.0,23.2903,20,27,29.764516129032256,35.70322580645161,30.2,42.1,23.6774,20,30,64.4,0.0000,19.825806451612905,19.048387096774192,28.635483870967743
2023,3,March,27.91935483870968,32.935483870967744,27.0,36.0,23.0000,20,27,29.374193548387094,36.012903225806454,29.2,43.5,23.1290,20,31,66.00322580645162,1.0000,20.212903225806457,16.261290322580646,27.154838709677417
2024,3,March,26.751612903225805,31.616129032258062,25.0,36.0,22.3871,18,28,28.71290322580646,35.3258064516129,25.0,52.9,22.6452,18,33,70.19677419354839,0.8387,20.31290322580646,18.31612903225807,26.880645161290328
2025,3,March,28.51935483870968,33.63548387096775,27.0,40.0,23.9677,19,28,30.26451612903226,35.461290322580645,27.1,42.1,24.5806,19,32,61.53548387096774,0.1290,19.54193548387097,19.348387096774193,27.329032258064508
2020,4,April,28.959999999999997,34.42666666666667,26.7,39.0,24.3333,20,28,32.84333333333333,42.05666666666665,26.7,51.5,24.6000,20,32,74.15,1.3667,23.266666666666666,23.506666666666668,32.51333333333333
2021,4,April,30.680000000000003,36.04,31.0,39.2,25.9333,22,28,35.02,41.27,36.7,47.6,27.9333,22,34,66.97,1.1667,23.083333333333332,20.793333333333333,31.133333333333333
2022,4,April,30.636666666666667,35.230000000000004,33.0,41.0,27.1667,23,29,37.50666666666666,44.930000000000014,39.3,51.0,30.4000,23,36,75.00333333333333,1.3000,25.416666666666668,27.283333333333324,39.196666666666665
2023,4,April,31.183333333333337,36.769999999999996,27.0,42.0,26.3000,21,30,35.14666666666666,41.769999999999996,28.8,53.9,28.7333,21,38,61.963333333333345,2.6333,22.01666666666667,18.833333333333336,29.74666666666667
2024,4,April,32.816666666666656,38.333333333333336,30.0,44.0,27.9667,24,30,37.946666666666665,43.43333333333333,35.7,53.2,31.9000,24,38,58.78666666666667,0.0000,22.57333333333333,19.579999999999995,26.42666666666667
2025,4,April,29.876666666666658,34.516666666666666,30.0,39.0,25.4333,20,29,34.833333333333336,41.290000000000006,34.7,52.5,27.3333,20,37,71.27999999999999,2.2333,23.769999999999996,23.076666666666668,35.75666666666667
2020,5,May,29.309677419354834,34.11290322580645,25.9,38.0,24.7097,20,29,35.809677419354834,45.80645161290323,25.9,57.9,26.8065,20,37,81.7032258064516,11.2903,25.59677419354839,23.929032258064513,37.44838709677419
2021,5,May,29.64193548387097,34.219354838709684,29.1,38.4,25.7097,21,29,35.945161290322574,44.1,33.6,52.0,28.0645,21,38,79.13870967741934,11.1290,25.332258064516136,22.754838709677422,38.99677419354838
2022,5,May,30.470967741935496,34.49354838709678,30.0,37.4,26.1290,23,29,37.151612903225804,44.29354838709678,37.9,48.7,28.2581,23,36,74.50000000000001,7.9355,25.22258064516129,24.393548387096768,35.967741935483865
2023,5,May,30.803225806451607,35.832258064516125,31.0,39.0,26.2581,23,30,36.97741935483871,45.30645161290323,35.5,53.9,28.7097,23,38,71.08064516129032,2.5161,24.593548387096778,23.174193548387098,37.34516129032257
2024,5,May,30.69354838709678,35.00322580645161,28.0,41.0,26.6129,22,32,37.88709677419355,44.90645161290323,32.7,51.0,30.0645,22,41,75.96774193548387,14.6774,25.538709677419355,25.229032258064517,38.95483870967742
2025,5,May,30.538709677419355,34.806451612903224,29.0,40.0,26.3226,22,30,36.774193548387096,43.183870967741925,35.6,48.1,28.3226,22,36,73.97741935483872,5.0323,24.970967741935485,21.95483870967741,34.638709677419364
2020,6,June,30.026666666666664,33.776666666666664,29.0,37.0,26.6667,23,30,39.20333333333333,49.413333333333334,38.2,56.5,30.1667,23,40,86.47666666666666,10.9000,27.386666666666667,18.553333333333335,33.36333333333334
2021,6,June,29.696666666666665,33.480000000000004,28.0,38.0,26.2667,23,29,37.65333333333333,46.85333333333333,34.5,53.6,28.9333,23,36,85.46,11.4000,26.82333333333333,20.54666666666666,33.63666666666666
2022,6,June,30.629999999999995,33.986666666666665,30.0,36.0,27.1667,25,29,38.973333333333336,45.77666666666666,40.4,51.0,31.1000,25,38,78.81,3.6667,26.410000000000004,24.80333333333332,39.95333333333333
2023,6,June,31.126666666666672,35.06666666666667,28.0,39.2,27.9667,24,31,40.023333333333326,46.68666666666665,33.6,56.5,32.8000,24,42,78.69999999999999,7.1000,26.686666666666667,23.043333333333337,35.45666666666667
2024,6,June,31.556666666666672,35.12666666666667,31.0,38.0,28.4000,26,30,42.50999999999999,50.12666666666666,42.4,56.6,34.4667,26,42,80.31666666666666,4.0667,27.62333333333334,22.05,35.92666666666666
2025,6,June,30.013333333333335,33.19,28.3,38.0,26.9667,23,29,37.50333333333333,43.029999999999994,33.6,49.5,31.0000,23,38,81.65,7.2333,26.316666666666663,19.016666666666666,30.01666666666667
2020,7,July,30.364516129032264,34.00322580645161,29.0,37.0,27.0645,24,29,40.896774193548396,51.58709677419354,38.2,59.7,31.6129,24,37,87.24193548387095,9.0968,27.90967741935484,22.358064516129033,32.31612903225807
2021,7,July,30.02903225806452,33.27741935483871,29.0,35.7,27.2581,25,29,38.900000000000006,46.054838709677405,36.8,53.6,32.0968,25,37,85.36451612903228,14.0323,27.196774193548393,20.06129032258065,32.44516129032258
2022,7,July,29.448387096774194,32.54193548387097,29.0,34.3,27.1290,25,28,36.3258064516129,42.48064516129032,35.6,45.8,30.8710,25,35,82.41290322580646,7.7419,26.06451612903225,20.132258064516126,36.24193548387097
2023,7,July,29.896774193548385,33.183870967741946,30.5,36.0,27.5806,26,29,38.24516129032258,44.422580645161275,40.4,48.7,32.0645,26,36,84.45483870967742,4.7742,26.89032258064516,19.293548387096774,34.196774193548386
2024,7,July,29.741935483870957,32.91290322580645,30.0,36.0,27.4194,24,29,38.190322580645166,44.69677419354837,39.4,48.7,32.0968,24,36,86.12258064516129,9.4516,27.09032258064516,20.13225806451613,33.4741935483871
2025,7,July,28.800000000000004,31.428571428571427,27.0,36.2,26.8095,25,28,35.52380952380952,40.62380952380953,31.4,47.3,30.0952,25,34,88.62857142857143,9.2381,26.633333333333336,17.11904761904762,26.18095238095238
2020,8,August,29.774193548387096,32.980645161290326,28.0,37.0,27.0645,25,29,39.761290322580635,49.690322580645166,34.5,61.2,31.6774,25,40,90.18064516129033,10.4516,27.929032258064517,17.712903225806453,31.925806451612903
2021,8,August,30.016129032258057,33.03548387096774,29.0,35.0,27.2903,26,29,39.29032258064517,46.59354838709677,38.2,51.0,32.1613,26,38,86.28709677419354,6.0968,27.38387096774194,16.33225806451613,29.683870967741946
2022,8,August,29.30322580645161,32.35483870967742,28.5,35.1,26.7742,25,28,35.58709677419353,41.4774193548387,34.3,48.7,29.5806,25,35,81.60967741935484,8.6774,25.725806451612904,19.387096774193548,32.58064516129032
2023,8,August,29.451612903225808,32.483870967741936,28.6,36.0,26.9677,26,29,36.599999999999994,42.735483870967734,35.2,49.5,30.1935,26,38,84.09354838709679,11.4516,26.374193548387098,18.341935483870973,30.380645161290317
2024,8,August,28.990322580645156,31.65806451612903,29.0,34.0,26.9677,25,29,36.08064516129032,41.62580645161289,35.5,45.8,30.9355,25,36,88.04838709677418,14.2903,26.719354838709677,16.793548387096774,29.341935483870966
2020,9,September,30.200000000000003,33.95333333333333,30.0,36.0,27.1000,25,29,40.606666666666676,51.40333333333333,42.2,57.9,31.8667,25,37,88.10333333333334,5.1000,27.94,15.163333333333334,27.003333333333327
2021,9,September,29.07333333333333,32.32333333333334,28.0,35.0,26.5000,25,28,36.063333333333325,44.21333333333334,33.6,50.4,29.3667,25,35,86.85333333333332,18.0000,26.580000000000005,16.26,32.76
2022,9,September,29.28333333333334,32.38333333333333,27.0,34.7,26.6333,25,29,35.07999999999998,40.87,30.3,45.3,29.1333,25,34,80.26666666666667,7.2333,25.399999999999995,19.733333333333334,30.453333333333344
2023,9,September,29.06333333333333,32.059999999999995,29.0,35.0,26.6333,25,28,36.00666666666667,42.44999999999998,35.6,51.0,29.2000,25,36,86.58333333333333,13.2333,26.496666666666666,17.400000000000002,32.58333333333333
2024,9,September,29.753333333333327,32.77333333333333,27.0,36.0,27.1333,25,29,37.13,42.72666666666667,30.6,48.7,31.0667,25,39,83.79333333333332,10.2333,26.546666666666667,18.113333333333337,32.27666666666667
2020,10,October,28.987096774193553,33.248387096774195,26.7,40.0,25.8387,22,28,35.596774193548384,45.9,29.9,57.9,28.6774,22,34,83.75161290322582,2.6774,25.767741935483873,13.893548387096772,26.419354838709673
2021,10,October,29.232258064516138,33.13225806451613,28.0,36.0,25.7097,22,28,35.55483870967742,43.545161290322575,32.9,53.1,27.8710,22,34,82.18387096774194,3.6452,25.68064516129032,17.422580645161286,24.287096774193547
2022,10,October,27.909677419354832,31.651612903225807,26.0,34.0,24.5484,20,27,30.964516129032262,36.60645161290322,26.0,42.7,25.0645,20,31,75.35806451612902,4.0323,22.929032258064513,18.196774193548386,26.451612903225808
2023,10,October,28.44193548387097,31.98387096774194,28.1,35.0,25.3226,22,28,32.11290322580645,37.745161290322585,32.4,45.3,26.5806,22,34,77.29032258064518,4.1613,23.800000000000008,14.87741935483871,23.95806451612903
