"month","month_name","avg_temp","avg_max_temp","min_max_temp","max_max_temp","avg_min_temp","min_min_temp","max_min_temp","avg_feels_like","avg_max_feels_like","min_max_feels_like","max_max_feels_like","avg_min_feels_like","min_min_feels_like","max_min_feels_like","avg_humidity","avg_precipitation","avg_dew","avg_windspeed","avg_windgust"
1,January,19.331720430107527,24.554838709677412,18.0,32.0,14.6505,10,22,19.365053763440862,24.73817204301075,18.0,33.7,14.6290,8,22,75.11881720430111,0.3118,14.414516129032263,13.4731182795699,24.022580645161284
2,February,22.995882352941184,28.337647058823528,19.8,36.0,17.9882,11,24,23.17176470588234,28.767647058823542,19.8,40.6,17.9882,11,24,68.04705882352944,0.4824,16.085294117647056,14.361764705882356,24.75529411764708
3,March,27.733333333333338,32.982258064516124,25.0,40.0,22.9194,16,28,29.24408602150536,35.41075268817204,25.0,52.9,23.1935,16,33,65.33817204301076,0.5269,19.809677419354824,17.18978494623658,27.25913978494622
4,April,30.69222222222222,35.886111111111106,26.7,44.0,26.1889,20,30,35.549444444444426,42.458333333333336,26.7,53.9,28.4833,20,38,68.02555555555554,1.4500,23.35444444444445,22.17888888888891,32.46222222222222
5,May,30.243010752688157,34.744623655913976,25.9,41.0,25.9570,20,32,36.757526881720416,44.5994623655914,25.9,57.9,28.3710,20,41,76.06129032258062,8.7634,25.209139784946238,23.572580645161285,37.22526881720428
6,June,30.50833333333333,34.104444444444454,28.0,39.2,27.2389,23,31,39.311111111111146,46.981111111111154,33.6,56.6,31.4111,23,42,81.9022222222222,7.3944,26.874444444444443,21.335555555555565,34.725555555555566
7,July,29.76534090909091,32.97443181818182,27.0,37.0,27.2330,24,29,38.15511363636365,45.225000000000065,31.4,59.7,31.5511,24,37,85.53806818181816,9.0455,26.98295454545456,20.004545454545482,32.833522727272744
8,August,29.507096774193545,32.502580645161274,28.0,37.0,27.0129,25,29,37.46387096774193,44.42451612903232,34.3,61.2,30.9097,25,40,86.04387096774192,10.1935,26.82645161290321,17.713548387096782,30.782580645161293
9,September,29.47466666666666,32.69866666666666,27.0,36.0,26.8000,25,29,36.97733333333334,44.332666666666704,30.3,57.9,30.1267,25,39,85.11999999999999,10.7600,26.592666666666663,17.334000000000007,31.015333333333324
10,October,28.64903225806452,32.40903225806452,26.0,40.0,25.4581,20,29,33.56709677419355,40.67870967741939,26.0,57.9,27.0387,20,39,80.28129032258065,5.5290,24.696774193548382,15.785806451612908,25.03354838709677
11,November,24.940666666666665,29.639333333333337,24.0,34.0,20.4400,14,26,25.484666666666673,30.9106666666667,24.0,40.6,20.4400,14,26,68.92599999999999,0.1800,18.442666666666657,14.043999999999999,23.933999999999997
12,December,20.774838709677415,25.812903225806448,20.5,31.0,16.1742,11,23,20.805161290322577,25.967741935483872,20.5,32.4,16.1742,11,23,71.69677419354838,0.8258,15.050967741935473,13.886451612903224,24.51612903225807
